
BSSID, First time seen, Last time seen, Channel, Speed, Privacy, Power, # beacons, # data, LAN IP, ESSID
00:C0:49:57:B2:1C, 2006-10-19 11:45:23, 2006-10-19 12:45:12,  14,       63, 00:40:96:46:3B:32, tsunami                         
00:13:CE:1F:F2:4F, 2006-10-19 11:45:30, 2006-10-19 12:48:01, 100,     8377, 00:40:96:46:48:3D, tsunami                         
00:E0:4C:81:80:66, 2006-10-19 11:45:37, 2006-10-19 12:40:23,  50,       32, 00:07:85:92:2B:8C,                                 
00:12:F0:0C:C2:10, 2006-10-19 11:45:37, 2006-10-19 12:25:27,  10,      144, 00:40:96:46:4C:09, tsunami                         
00:16:CB:BA:AD:54, 2006-10-19 11:45:55, 2006-10-19 12:48:05,  67,    31472, 00:40:96:46:35:D5, tsunami                         
00:0D:93:7E:CA:1D, 2006-10-19 11:45:56, 2006-10-19 12:47:40,  74,      730, 00:40:96:46:26:F1, tsunami                         
00:14:A5:2D:26:19, 2006-10-19 11:46:46, 2006-10-19 12:46:17,  14,      582, 00:40:96:46:3B:32, tsunami                         
00:90:4B:2D:A4:F8, 2006-10-19 11:46:46, 2006-10-19 12:45:46,  64,      108, 00:40:96:46:26:F1, tsunami                         
00:14:A5:0F:00:8D, 2006-10-19 11:46:53, 2006-10-19 12:41:22,  30,      495, 00:40:96:46:35:D5, tsunami                         
00:14:51:7F:57:EF, 2006-10-19 11:47:15, 2006-10-19 12:47:05,   1,      304, 00:40:96:47:80:99, tsunami                         
00:14:A5:AA:AE:D2, 2006-10-19 11:47:36, 2006-10-19 11:57:34,  18,       44, 00:40:96:46:3B:32, tsunami                         
00:16:6F:16:0E:72, 2006-10-19 11:47:59, 2006-10-19 12:08:32,   1,       27, 00:40:96:46:55:07, tsunami                         
00:12:F0:01:C4:4C, 2006-10-19 11:48:24, 2006-10-19 12:06:42,  20,        3, 00:40:96:46:4C:09, tsunami                         
00:04:23:64:53:C8, 2006-10-19 11:49:25, 2006-10-19 12:44:48,  26,       49, 00:40:96:45:FC:B0, tsunami                         
00:18:DE:06:A3:B1, 2006-10-19 11:49:31, 2006-10-19 12:07:25,  30,       44, 00:40:96:46:35:13, tsunami                         
00:13:02:7F:96:11, 2006-10-19 11:49:31, 2006-10-19 12:43:33,  12,      767, 00:40:96:46:35:D5, tsunami                         
00:0E:9B:24:AD:BA, 2006-10-19 11:50:21, 2006-10-19 12:32:42,  33,       42, 00:40:96:46:35:13, tsunami                         
00:14:A5:43:09:61, 2006-10-19 11:50:21, 2006-10-19 12:35:01,  35,       55, 00:40:96:46:35:13, tsunami                         
00:10:C6:2B:B5:94, 2006-10-19 11:50:21, 2006-10-19 11:53:48,  33,        5, 00:40:96:46:35:13, tsunami                         
00:0E:35:15:C2:C8, 2006-10-19 11:52:49, 2006-10-19 12:31:12,  28,      179, 00:40:96:46:35:13, tsunami                         
