# $Creator: Network Stumbler Version 0.4.0
# $Format: wi-scan summary with extensions
# Latitude	Longitude	( SSID )	Type	( BSSID )	Time (GMT)	[ SNR Sig Noise ]	# ( Name )	Flags	Channelbits	BcnIntvl	DataRate	LastChannel
# $DateGMT: 2006-10-29
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:16:c7:99:a6:d0 )	19:32:14 (GMT)	[ 21 70 49 ]	# (  )	0001	00000002	100	540	1
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:34:00:17:20 )	19:32:14 (GMT)	[ 15 64 49 ]	# (  )	0001	00000002	100	540	1
N 0.0000000	E 0.0000000	( Apple Network eb3841 )	BSS	( 00:11:24:eb:38:41 )	19:32:14 (GMT)	[ 9 58 49 ]	# (  )	0011	00000002	100	110	1
N 0.0000000	E 0.0000000	( Airport Express )	BSS	( 00:14:51:6d:71:33 )	19:32:14 (GMT)	[ 8 57 49 ]	# (  )	0011	00000002	100	110	1
N 0.0000000	E 0.0000000	( Airport Express )	BSS	( 00:11:24:eb:27:c5 )	19:32:14 (GMT)	[ 12 61 49 ]	# (  )	0011	00000842	100	0	1
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:34:00:19:e0 )	19:32:14 (GMT)	[ 27 76 49 ]	# (  )	0001	00000002	100	540	1
N 0.0000000	E 0.0000000	( jaredn1 )	BSS	( 00:0f:66:42:cb:f5 )	19:32:14 (GMT)	[ 21 70 49 ]	# (  )	0011	00000040	100	540	6
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:34:00:23:a0 )	19:32:14 (GMT)	[ 18 67 49 ]	# (  )	0001	00000040	100	540	6
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:34:00:14:e0 )	19:32:14 (GMT)	[ 6 55 49 ]	# (  )	0001	00000040	100	540	6
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:34:00:18:b0 )	19:32:14 (GMT)	[ 16 65 49 ]	# (  )	0001	00000040	100	540	6
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:34:00:1b:c0 )	19:32:14 (GMT)	[ 18 67 49 ]	# (  )	0001	00000040	100	540	6
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:8f:3d:de:00 )	19:32:14 (GMT)	[ 32 81 49 ]	# (  )	0001	00000040	100	540	6
N 0.0000000	E 0.0000000	( Finn )	BSS	( 00:14:6c:d6:10:5e )	19:32:14 (GMT)	[ 21 70 49 ]	# (  )	0001	00000800	100	540	11
N 0.0000000	E 0.0000000	( ljsdcdev )	BSS	( 00:11:50:5f:55:01 )	19:32:14 (GMT)	[ 11 60 49 ]	# (  )	0011	00000800	100	540	11
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:34:00:19:20 )	19:32:14 (GMT)	[ 19 68 49 ]	# (  )	0001	00000800	100	540	11
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:34:00:17:a0 )	19:32:14 (GMT)	[ 22 71 49 ]	# (  )	0001	00000800	100	540	11
N 0.0000000	E 0.0000000	( RYERSON )	ad-hoc	( d2:5b:10:d2:9a:f3 )	19:32:24 (GMT)	[ 31 80 49 ]	# (  )	0002	00000800	100	110	11
N 0.0000000	E 0.0000000	( Linksys )	BSS	( 00:0c:41:37:a8:dd )	19:32:39 (GMT)	[ 11 60 49 ]	# (  )	0001	00000040	100	540	6
N 0.0000000	E 0.0000000	( dd-wrt )	BSS	( 00:13:10:f8:85:1d )	19:33:19 (GMT)	[ 13 62 49 ]	# (  )	0011	00000002	100	540	1
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:34:00:18:80 )	19:33:19 (GMT)	[ 8 57 49 ]	# (  )	0001	00000002	100	540	1
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:8f:3d:db:50 )	19:33:24 (GMT)	[ 18 67 49 ]	# (  )	0001	00000002	100	540	1
N 0.0000000	E 0.0000000	( erickson-204b )	BSS	( 00:18:39:48:2e:a3 )	19:33:24 (GMT)	[ 5 54 49 ]	# (  )	0011	00000040	100	540	6
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:34:00:19:40 )	19:34:39 (GMT)	[ 18 67 49 ]	# (  )	0001	00000800	100	540	11
N 0.0000000	E 0.0000000	( Shwat )	BSS	( 00:12:17:2b:e8:ae )	19:35:04 (GMT)	[ 10 59 49 ]	# (  )	0011	00000800	100	540	11
