
BSSID, First time seen, Last time seen, Channel, Speed, Privacy, Power, # beacons, # data, LAN IP, ESSID
00:90:4B:54:F6:4B, 2006-10-24 12:25:32, 2006-10-24 12:57:18,  33,     5926, 00:40:96:47:80:99, tsunami                         
00:14:51:ED:3A:D1, 2006-10-24 12:26:32, 2006-10-24 12:28:10,   1,       19, 00:40:96:46:3B:32, tsunami                         
00:E0:4C:81:80:66, 2006-10-24 12:29:39, 2006-10-24 12:48:48,  10,       37, 00:07:85:92:2B:8C,                                 
00:12:F0:84:C8:8E, 2006-10-24 12:30:52, 2006-10-24 12:44:49,  67,      798, 00:40:96:47:80:99, tsunami                         
00:13:CE:4B:19:A4, 2006-10-24 12:31:22, 2006-10-24 12:40:32,   5,      115, 00:40:96:46:35:D5, tsunami                         
00:12:F0:BF:93:93, 2006-10-24 12:38:39, 2006-10-24 12:38:39,   1,        1, 00:40:96:46:54:CB,                                 
00:13:CE:21:D4:EA, 2006-10-24 12:39:00, 2006-10-24 12:40:09,  10,      419, 00:40:96:47:80:99, tsunami                         
00:02:2D:B2:94:88, 2006-10-24 12:39:12, 2006-10-24 12:40:27,  16,       22, 00:40:96:47:80:99, tsunami                         
00:14:A5:25:AA:F7, 2006-10-24 12:40:39, 2006-10-24 12:46:08,  10,      203, 00:40:96:46:48:3D, tsunami                         
00:15:00:51:43:91, 2006-10-24 12:50:21, 2006-10-24 12:52:53,   1,      491, 00:40:96:47:80:99, tsunami                         
00:13:02:A9:4D:E4, 2006-10-24 12:50:38, 2006-10-24 12:54:04,  16,      673, 00:40:96:46:35:D5, tsunami                         
00:13:02:1B:9D:3C, 2006-10-24 12:52:31, 2006-10-24 12:53:39,   5,       57, 00:40:96:46:48:3D, tsunami                         
00:30:65:14:B7:06, 2006-10-24 12:56:35, 2006-10-24 12:56:47,  22,        4, 00:40:96:41:9C:23, tsunami                         

