# $Creator: Network Stumbler Version 0.4.0
# $Format: wi-scan summary with extensions
# Latitude	Longitude	( SSID )	Type	( BSSID )	Time (GMT)	[ SNR Sig Noise ]	# ( Name )	Flags	Channelbits	BcnIntvl	DataRate	LastChannel
# $DateGMT: 2006-10-29
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:16:c7:99:a6:d0 )	19:32:14 (GMT)	[ 22 71 49 ]	# (  )	0001	00000002	100	540	1
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:34:00:17:20 )	19:32:14 (GMT)	[ 16 65 49 ]	# (  )	0001	00000002	100	540	1
N 0.0000000	E 0.0000000	( Apple Network eb3841 )	BSS	( 00:11:24:eb:38:41 )	19:32:14 (GMT)	[ 19 68 49 ]	# (  )	0011	00000002	100	110	1
N 0.0000000	E 0.0000000	( Airport Express )	BSS	( 00:14:51:6d:71:33 )	19:32:14 (GMT)	[ 26 75 49 ]	# (  )	0011	00000002	100	110	1
N 0.0000000	E 0.0000000	( Airport Express )	BSS	( 00:11:24:eb:27:c5 )	19:32:14 (GMT)	[ 13 62 49 ]	# (  )	0011	00000842	100	0	6
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:34:00:19:e0 )	19:32:14 (GMT)	[ 27 76 49 ]	# (  )	0001	00000002	100	540	1
N 0.0000000	E 0.0000000	( jaredn1 )	BSS	( 00:0f:66:42:cb:f5 )	19:32:14 (GMT)	[ 21 70 49 ]	# (  )	0011	00000040	100	540	6
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:34:00:23:a0 )	19:32:14 (GMT)	[ 18 67 49 ]	# (  )	0001	00000040	100	540	6
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:34:00:14:e0 )	19:32:14 (GMT)	[ 6 55 49 ]	# (  )	0001	00000040	100	540	6
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:34:00:18:b0 )	19:32:14 (GMT)	[ 17 66 49 ]	# (  )	0001	00000040	100	540	6
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:34:00:1b:c0 )	19:32:14 (GMT)	[ 18 67 49 ]	# (  )	0001	00000040	100	540	6
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:8f:3d:de:00 )	19:32:14 (GMT)	[ 34 83 49 ]	# (  )	0001	00000040	100	540	6
N 0.0000000	E 0.0000000	( Finn )	BSS	( 00:14:6c:d6:10:5e )	19:32:14 (GMT)	[ 22 71 49 ]	# (  )	0001	00000800	100	540	11
N 0.0000000	E 0.0000000	( ljsdcdev )	BSS	( 00:11:50:5f:55:01 )	19:32:14 (GMT)	[ 15 64 49 ]	# (  )	0011	00000800	100	540	11
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:34:00:19:20 )	19:32:14 (GMT)	[ 19 68 49 ]	# (  )	0001	00000800	100	540	11
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:34:00:17:a0 )	19:32:14 (GMT)	[ 22 71 49 ]	# (  )	0001	00000800	100	540	11
N 0.0000000	E 0.0000000	( RYERSON )	ad-hoc	( d2:5b:10:d2:9a:f3 )	19:32:24 (GMT)	[ 31 80 49 ]	# (  )	0002	00000800	100	110	11
N 0.0000000	E 0.0000000	( Linksys )	BSS	( 00:0c:41:37:a8:dd )	19:32:39 (GMT)	[ 27 76 49 ]	# (  )	0001	00000040	100	540	6
N 0.0000000	E 0.0000000	( dd-wrt )	BSS	( 00:13:10:f8:85:1d )	19:33:19 (GMT)	[ 25 74 49 ]	# (  )	0011	00000002	100	540	1
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:34:00:18:80 )	19:33:19 (GMT)	[ 16 65 49 ]	# (  )	0001	00000002	100	540	1
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:8f:3d:db:50 )	19:33:24 (GMT)	[ 18 67 49 ]	# (  )	0001	00000002	100	540	1
N 0.0000000	E 0.0000000	( erickson-204b )	BSS	( 00:18:39:48:2e:a3 )	19:33:24 (GMT)	[ 7 56 49 ]	# (  )	0011	00000040	100	540	6
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:34:00:19:40 )	19:34:39 (GMT)	[ 18 67 49 ]	# (  )	0001	00000800	100	540	11
N 0.0000000	E 0.0000000	( Shwat )	BSS	( 00:12:17:2b:e8:ae )	19:35:04 (GMT)	[ 10 59 49 ]	# (  )	0011	00000800	100	540	11
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:34:00:14:10 )	19:36:35 (GMT)	[ 19 68 49 ]	# (  )	0001	00000800	100	540	11
N 0.0000000	E 0.0000000	( Deep Creek 642_C )	BSS	( 00:18:39:70:8b:0c )	19:37:45 (GMT)	[ 22 71 49 ]	# (  )	0001	00000040	100	540	6
N 0.0000000	E 0.0000000	( erickson_324A )	BSS	( 00:18:39:e4:9c:fb )	19:37:45 (GMT)	[ 18 67 49 ]	# (  )	0011	00000040	100	540	6
N 0.0000000	E 0.0000000	( Hinkies )	ad-hoc	( 16:8c:8a:05:43:b1 )	19:37:55 (GMT)	[ 18 67 49 ]	# (  )	0002	00000040	100	110	6
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:34:00:21:70 )	19:37:55 (GMT)	[ 21 70 49 ]	# (  )	0001	00000040	100	540	6
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:34:00:1b:00 )	19:38:05 (GMT)	[ 26 75 49 ]	# (  )	0001	00000002	100	540	1
N 0.0000000	E 0.0000000	( Gurada )	BSS	( 00:0d:93:80:43:86 )	19:38:10 (GMT)	[ 9 58 49 ]	# (  )	0011	00000002	100	110	1
N 0.0000000	E 0.0000000	( DaBoomBoomRoom )	BSS	( 00:14:bf:d9:aa:a1 )	19:38:10 (GMT)	[ 35 84 49 ]	# (  )	0011	00000002	100	540	1
N 0.0000000	E 0.0000000	( Not yours )	BSS	( 00:0f:66:34:dd:60 )	19:38:10 (GMT)	[ 22 71 49 ]	# (  )	0011	00000040	100	110	6
N 0.0000000	E 0.0000000	( Wireless )	BSS	( 00:11:50:9f:81:7f )	19:38:10 (GMT)	[ 34 83 49 ]	# (  )	0011	00000080	100	110	7
N 0.0000000	E 0.0000000	( DC_612B )	BSS	( 00:30:bd:f4:ce:b1 )	19:38:10 (GMT)	[ 11 60 49 ]	# (  )	0011	00000002	100	540	1
N 0.0000000	E 0.0000000	( coolcabblue )	BSS	( 00:18:39:56:4b:a3 )	19:38:15 (GMT)	[ 31 80 49 ]	# (  )	0011	00000040	100	540	6
N 0.0000000	E 0.0000000	( linksys_SES_3485 )	BSS	( 00:18:39:65:fe:72 )	19:38:15 (GMT)	[ 17 66 49 ]	# (  )	0011	00000040	100	540	6
N 0.0000000	E 0.0000000	( vagabonds )	BSS	( 00:40:10:10:00:03 )	19:38:15 (GMT)	[ 26 75 49 ]	# (  )	0011	00000040	100	540	6
N 0.0000000	E 0.0000000	( bradsnet )	BSS	( 00:12:17:27:7c:f7 )	19:38:15 (GMT)	[ 10 59 49 ]	# (  )	0011	00000040	100	540	6
N 0.0000000	E 0.0000000	( terrace_412 )	BSS	( 00:06:25:c2:d4:8b )	19:38:19 (GMT)	[ 3 52 49 ]	# (  )	0001	00000008	100	110	3
N 0.0000000	E 0.0000000	( Blitzz )	BSS	( 00:e0:98:4c:c1:ea )	19:38:34 (GMT)	[ 10 59 49 ]	# (  )	0011	00000400	100	110	10
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:34:00:22:60 )	19:38:39 (GMT)	[ 25 74 49 ]	# (  )	0001	00000002	100	540	1
N 0.0000000	E 0.0000000	( Apple Network 755d85 )	BSS	( 00:14:51:75:5d:85 )	19:38:54 (GMT)	[ 26 75 49 ]	# (  )	0001	00000002	100	110	1
N 0.0000000	E 0.0000000	( speeddevil )	BSS	( 00:18:39:57:7a:7c )	19:38:54 (GMT)	[ 18 67 49 ]	# (  )	0011	00000040	100	540	6
N 0.0000000	E 0.0000000	( Central Server 2.0 )	BSS	( 00:18:39:3e:46:eb )	19:38:54 (GMT)	[ 8 57 49 ]	# (  )	0011	00000040	100	540	6
N 0.0000000	E 0.0000000	( Mark )	BSS	( 00:30:65:16:a9:6c )	19:39:04 (GMT)	[ 18 67 49 ]	# (  )	0011	00000800	100	110	11
N 0.0000000	E 0.0000000	( 812-Wireless )	BSS	( 00:0f:66:23:ee:e7 )	19:39:04 (GMT)	[ 9 58 49 ]	# (  )	0011	00000200	100	110	9
N 0.0000000	E 0.0000000	( XIAOHOME )	ad-hoc	( 92:9a:f7:90:b9:ef )	19:39:35 (GMT)	[ 5 54 49 ]	# (  )	0002	00000800	100	110	11
N 0.0000000	E 0.0000000	( deepcreek_623D )	BSS	( 00:18:39:64:d4:be )	19:40:19 (GMT)	[ 19 68 49 ]	# (  )	0011	00000040	100	540	6
N 0.0000000	E 0.0000000	( CJRT Hillside )	BSS	( 00:15:e9:e8:71:18 )	19:41:05 (GMT)	[ 7 56 49 ]	# (  )	0011	00000040	100	0	6
