# $Creator: Network Stumbler Version 0.4.0
# $Format: wi-scan summary with extensions
# Latitude	Longitude	( SSID )	Type	( BSSID )	Time (GMT)	[ SNR Sig Noise ]	# ( Name )	Flags	Channelbits	BcnIntvl	DataRate	LastChannel
# $DateGMT: 2006-10-29
N 0.0000000	E 0.0000000	( POTOMAC HAS A SHITTY CONNECTION )	BSS	( 00:0f:66:30:5d:5f )	19:50:56 (GMT)	[ 32 81 49 ]	# (  )	0001	00000040	100	110	6
N 0.0000000	E 0.0000000	( linksys )	BSS	( 00:14:bf:4a:45:b1 )	19:50:56 (GMT)	[ 35 84 49 ]	# (  )	0011	00000040	100	540	6
N 0.0000000	E 0.0000000	( Foxy Cat )	BSS	( 00:14:bf:cf:49:ef )	19:50:56 (GMT)	[ 40 89 49 ]	# (  )	0011	00000040	100	540	6
N 0.0000000	E 0.0000000	( Datapike's Wireless )	BSS	( 00:14:51:75:f7:53 )	19:50:56 (GMT)	[ 23 72 49 ]	# (  )	0011	00000002	100	110	1
N 0.0000000	E 0.0000000	( belkin54g )	BSS	( 00:11:50:72:12:3c )	19:51:08 (GMT)	[ 17 66 49 ]	# (  )	0011	00000002	100	0	1
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:24:cf:25:10 )	19:51:13 (GMT)	[ 19 68 49 ]	# (  )	0001	00000002	100	540	1
N 0.0000000	E 0.0000000	( default )	BSS	( 00:40:f4:f6:18:5d )	19:51:13 (GMT)	[ 6 55 49 ]	# (  )	0011	00000040	100	110	6
N 0.0000000	E 0.0000000	( jakris )	BSS	( 00:40:10:10:00:03 )	19:51:13 (GMT)	[ 11 60 49 ]	# (  )	0001	00000040	100	540	6
N 0.0000000	E 0.0000000	( vampire )	BSS	( 00:16:b6:e3:11:74 )	19:51:13 (GMT)	[ 19 68 49 ]	# (  )	0011	00000040	100	540	6
N 0.0000000	E 0.0000000	( DonkeyPunch )	BSS	( 00:18:39:8f:63:a4 )	19:51:18 (GMT)	[ 21 70 49 ]	# (  )	0001	00000040	100	110	6
N 0.0000000	E 0.0000000	( default )	BSS	( 00:13:46:44:8a:90 )	19:51:18 (GMT)	[ 17 66 49 ]	# (  )	0011	00000040	100	0	6
N 0.0000000	E 0.0000000	( Dell's World )	BSS	( 00:14:6c:ef:c2:00 )	19:51:23 (GMT)	[ 5 54 49 ]	# (  )	0011	00000020	100	540	5
N 0.0000000	E 0.0000000	( Pat 176 )	BSS	( 00:13:46:0b:7f:1c )	19:51:33 (GMT)	[ 16 65 49 ]	# (  )	0011	00000800	100	0	11
N 0.0000000	E 0.0000000	( Free Public WiFi )	ad-hoc	( 02:13:02:00:63:47 )	19:51:33 (GMT)	[ 22 71 49 ]	# (  )	0002	00000800	100	110	11
N 0.0000000	E 0.0000000	( Free Public WiFi )	ad-hoc	( 5e:fa:2f:f9:47:d8 )	19:51:33 (GMT)	[ 11 60 49 ]	# (  )	0002	00000800	100	110	11
N 0.0000000	E 0.0000000	( NETGEAR )	BSS	( 00:14:6c:9f:c4:94 )	19:51:54 (GMT)	[ 9 58 49 ]	# (  )	0001	00000800	100	540	11
N 0.0000000	E 0.0000000	( pmc_271 )	BSS	( 00:0f:b5:a0:02:f4 )	19:51:54 (GMT)	[ 18 67 49 ]	# (  )	0011	00000800	100	540	11
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:24:9c:66:10 )	19:51:58 (GMT)	[ 7 56 49 ]	# (  )	0001	00000040	100	540	6
N 0.0000000	E 0.0000000	( belkin54g )	BSS	( 00:17:3f:06:3c:36 )	19:52:49 (GMT)	[ 9 58 49 ]	# (  )	0001	00000800	100	110	11
N 0.0000000	E 0.0000000	( linksys_SES_32732 )	BSS	( 00:14:bf:86:9e:38 )	19:53:19 (GMT)	[ 5 54 49 ]	# (  )	0011	00000040	100	540	6
