
BSSID, First time seen, Last time seen, Channel, Speed, Privacy, Power, # beacons, # data, LAN IP, ESSID
00:14:A5:6B:BF:12, 2006-10-26 11:58:08, 2006-10-26 12:10:32,  14,       27, 00:40:96:46:3B:32, tsunami                         
00:17:F2:42:88:47, 2006-10-26 11:58:08, 2006-10-26 12:44:35,  16,       27, 00:40:96:46:3B:32, tsunami                         
00:10:C6:96:FF:E4, 2006-10-26 11:58:57, 2006-10-26 12:00:24,   5,       18, 00:40:96:46:3B:32, tsunami                         
00:13:02:1B:9D:3C, 2006-10-26 11:59:07, 2006-10-26 11:59:14,   1,        3, 00:0F:8F:3D:DC:20, tsunami                         
00:15:00:24:74:37, 2006-10-26 11:59:30, 2006-10-26 11:59:30,   1,        1, 00:0F:8F:3D:DC:20, tsunami                         
00:12:F0:14:58:37, 2006-10-26 11:59:51, 2006-10-26 12:01:27,  12,       10, 00:40:96:46:3B:32, tsunami                         
00:16:CF:11:A6:EE, 2006-10-26 12:00:29, 2006-10-26 12:06:41,   1,        8, 00:40:96:46:3B:32, tsunami                         
00:17:F2:40:8E:EB, 2006-10-26 12:00:35, 2006-10-26 12:44:16,  16,       62, 00:40:96:46:3B:32, tsunami                         
00:13:02:8F:EF:63, 2006-10-26 12:02:37, 2006-10-26 12:26:47,   1,       13, 00:09:5B:6A:43:28, Meyerhoff                       
00:17:31:C8:A9:73, 2006-10-26 12:03:33, 2006-10-26 12:25:02,  22,       70, 00:40:96:46:3B:32, tsunami                         
00:18:DE:17:13:5B, 2006-10-26 12:03:57, 2006-10-26 12:45:29,  59,    21103, 00:40:96:46:48:3D, tsunami                         
00:13:02:1B:50:60, 2006-10-26 12:04:43, 2006-10-26 12:48:27,  70,    30970, 00:40:96:47:80:99, tsunami                         
00:14:A5:AA:AE:D2, 2006-10-26 12:05:39, 2006-10-26 12:05:54,   1,       21, 00:40:96:40:C2:E8,                                 
00:13:02:AA:32:25, 2006-10-26 12:06:14, 2006-10-26 12:11:11,  12,      270, 00:40:96:46:3B:32, tsunami                         
00:13:02:B7:E4:56, 2006-10-26 12:07:44, 2006-10-26 12:19:21,  53,      939, 00:40:96:47:80:99, tsunami                         
00:E0:4C:81:80:66, 2006-10-26 12:08:01, 2006-10-26 12:16:18,  16,       12, 00:07:85:92:2B:8C,                                 
00:0E:35:15:C2:C8, 2006-10-26 12:08:26, 2006-10-26 12:09:27,  56,       25, 00:40:96:46:35:D5, tsunami                         
00:14:A5:0A:14:9F, 2006-10-26 12:08:39, 2006-10-26 12:47:11,  53,     4526, 00:40:96:47:80:99, tsunami                         
00:12:F0:60:72:3D, 2006-10-26 12:09:36, 2006-10-26 12:27:15,  67,      260, 00:40:96:47:80:99, tsunami                         
00:0E:35:29:12:2D, 2006-10-26 12:09:56, 2006-10-26 12:12:52,  26,     1280, 00:40:96:46:48:3D, tsunami                         
00:03:2F:03:35:46, 2006-10-26 12:11:01, 2006-10-26 12:46:19,  70,     8924, 00:40:96:41:9C:23, tsunami                         
00:12:F0:9D:7D:BF, 2006-10-26 12:11:28, 2006-10-26 12:20:48,  43,     3839, 00:40:96:47:80:99, tsunami                         
00:17:31:FA:15:92, 2006-10-26 12:13:16, 2006-10-26 12:13:41,  86,       60, 00:40:96:41:9C:23, tsunami                         
00:01:36:10:69:F9, 2006-10-26 12:15:57, 2006-10-26 12:16:59,  14,        5, 00:40:96:46:3B:32, tsunami                         
00:09:2D:C6:BB:16, 2006-10-26 12:18:51, 2006-10-26 12:21:36,  16,        5, 00:40:96:46:3B:32, tsunami                         
00:14:A5:74:43:BD, 2006-10-26 12:27:27, 2006-10-26 12:44:56,  30,      535, 00:40:96:46:48:3D, tsunami                         
00:14:A5:C4:20:A3, 2006-10-26 12:27:54, 2006-10-26 12:43:10,  79,    26066, 00:40:96:47:80:99, tsunami                         
00:14:51:E4:C9:A9, 2006-10-26 12:31:39, 2006-10-26 12:46:59,   1,        5, 00:40:96:46:3B:32, tsunami                         
00:16:6F:76:4E:92, 2006-10-26 12:37:28, 2006-10-26 12:48:27,  61,    13366, 00:40:96:46:48:3D, tsunami                         
00:12:F0:AC:3C:8D, 2006-10-26 12:41:20, 2006-10-26 12:45:31,  59,       19, 00:40:96:46:35:D5, tsunami                         
00:13:02:BA:5E:19, 2006-10-26 12:41:22, 2006-10-26 12:48:27,  72,     9172, 00:40:96:47:80:99, tsunami                         
00:13:02:D4:F5:70, 2006-10-26 12:46:30, 2006-10-26 12:46:31,  50,        8, 00:40:96:46:35:D5, tsunami                         
00:13:02:82:83:F8, 2006-10-26 12:47:19, 2006-10-26 12:48:24,  24,       12, 00:0F:8F:3D:DC:20, tsunami                         

