
BSSID, First time seen, Last time seen, Channel, Speed, Privacy, Power, # beacons, # data, LAN IP, ESSID
00:12:F0:75:44:B8, 2006-10-23 11:49:35, 2006-10-23 12:55:42,  18,     3878, 00:40:96:46:3B:32, tsunami                         
00:12:F0:12:2E:EB, 2006-10-23 11:50:07, 2006-10-23 12:42:38,  28,     2721, 00:40:96:46:48:3D, tsunami                         
00:0E:35:B3:D5:EE, 2006-10-23 11:52:47, 2006-10-23 12:55:41,   1,     4440, 00:40:96:46:35:D5, tsunami                         
00:0E:35:59:1A:99, 2006-10-23 11:52:57, 2006-10-23 11:55:00,   1,        2, 00:40:96:46:3B:32, tsunami                         
00:14:A5:AA:AE:D2, 2006-10-23 11:53:24, 2006-10-23 11:53:27,  18,       38, 00:40:96:44:81:DE,                                 
00:12:F0:0F:FA:44, 2006-10-23 11:56:06, 2006-10-23 12:55:42,  50,     9094, 00:40:96:46:48:3D, tsunami                         
00:13:CE:18:46:28, 2006-10-23 11:56:07, 2006-10-23 11:59:32,  33,     1652, 00:40:96:46:48:3D, tsunami                         
00:15:00:3F:AC:E7, 2006-10-23 11:56:17, 2006-10-23 12:23:06,  35,     4404, 00:40:96:46:48:3D, tsunami                         
00:14:A5:61:4F:01, 2006-10-23 11:56:56, 2006-10-23 11:58:50,  45,     1727, 00:40:96:47:80:99, tsunami                         
00:15:00:07:2E:50, 2006-10-23 11:58:43, 2006-10-23 12:50:44,  56,     1023, 00:40:96:41:9C:23, tsunami                         
00:16:CE:0D:93:C1, 2006-10-23 11:59:57, 2006-10-23 12:01:33,  28,       79, 00:40:96:46:58:9F,                                 
00:13:02:BC:E6:19, 2006-10-23 12:01:19, 2006-10-23 12:06:57,  10,      174, 00:40:96:46:35:D5, tsunami                         
00:13:02:B7:E4:56, 2006-10-23 12:02:08, 2006-10-23 12:02:31,  61,       70, 00:40:96:46:48:3D, tsunami                         
00:12:F0:7C:C7:BC, 2006-10-23 12:02:17, 2006-10-23 12:03:36,  24,      316, 00:40:96:46:35:D5, tsunami                         
00:14:A4:47:F8:46, 2006-10-23 12:03:05, 2006-10-23 12:06:17,  70,      283, 00:40:96:47:80:99, tsunami                         
00:13:02:5D:B6:5C, 2006-10-23 12:05:42, 2006-10-23 12:43:59,  75,    29046, 00:40:96:41:9C:23, tsunami                         
00:17:31:C8:A9:73, 2006-10-23 12:07:44, 2006-10-23 12:52:42,  20,     1486, 00:40:96:46:3B:32, tsunami                         
00:16:CF:4F:03:EE, 2006-10-23 12:08:12, 2006-10-23 12:55:33,  74,     4734, 00:40:96:47:80:99, tsunami                         
00:12:F0:8C:71:82, 2006-10-23 12:09:05, 2006-10-23 12:45:50,  53,    41916, 00:40:96:46:48:3D, tsunami                         
00:02:2D:B1:8C:D2, 2006-10-23 12:10:38, 2006-10-23 12:12:18,  16,        5, 00:40:96:46:54:CB, tsunami                         
00:13:CE:12:05:70, 2006-10-23 12:13:08, 2006-10-23 12:28:08,  16,      461, 00:40:96:46:3B:32, tsunami                         
00:14:A5:96:B9:A8, 2006-10-23 12:14:07, 2006-10-23 12:55:42,  16,      561, 00:40:96:46:3B:32, tsunami                         
00:09:5B:8C:B6:D1, 2006-10-23 12:15:02, 2006-10-23 12:55:34,  75,     7360, 00:40:96:46:80:40, tsunami                         
00:13:CE:E3:34:66, 2006-10-23 12:15:17, 2006-10-23 12:20:38,   5,       42, 00:40:96:46:54:CB, tsunami                         
00:14:A5:19:CB:2F, 2006-10-23 12:15:42, 2006-10-23 12:55:19,  28,       96, 00:40:96:46:3B:32, tsunami                         
00:14:A5:5A:F2:F9, 2006-10-23 12:19:09, 2006-10-23 12:29:24,  59,      283, 00:40:96:46:35:D5, tsunami                         
00:16:B6:07:86:7B, 2006-10-23 12:20:25, 2006-10-23 12:38:08,  59,    11683, 00:40:96:46:35:D5, tsunami                         
00:0D:93:8B:38:E9, 2006-10-23 12:20:30, 2006-10-23 12:27:48,   1,      220, 00:40:96:46:48:3D, tsunami                         
00:E0:4C:81:80:66, 2006-10-23 12:22:01, 2006-10-23 12:53:34,  81,      107, 00:07:85:92:2B:8C,                                 
