
BSSID, First time seen, Last time seen, Channel, Speed, Privacy, Power, # beacons, # data, LAN IP, ESSID
00:14:A4:46:9E:B7, 2006-10-20 11:57:18, 2006-10-20 11:59:55,  26,      108, 00:40:96:46:26:F1, tsunami                         
00:04:23:64:53:C8, 2006-10-20 11:57:59, 2006-10-20 12:45:23,   1,       39, 00:40:96:46:26:F1, tsunami                         
00:18:F3:38:8B:6F, 2006-10-20 11:58:37, 2006-10-20 12:47:33,   1,     3869, 00:40:96:46:54:CB, tsunami                         
00:13:CE:92:55:2E, 2006-10-20 11:58:56, 2006-10-20 12:39:37,  10,      865, 00:40:96:47:80:99, tsunami                         
00:13:CE:8E:37:80, 2006-10-20 11:59:20, 2006-10-20 11:59:23,  30,       12, 00:40:96:46:66:AA, tsunami                         
00:16:CF:39:45:42, 2006-10-20 11:59:56, 2006-10-20 12:08:11,  61,      237, 00:40:96:46:55:07, tsunami                         
00:17:31:C8:A9:73, 2006-10-20 12:00:18, 2006-10-20 12:02:39,  83,       39, 00:40:96:46:3B:32, tsunami                         
00:14:A4:34:C6:0D, 2006-10-20 12:00:26, 2006-10-20 12:14:31,  20,       17, 00:40:96:46:0F:96, tsunami                         
00:90:96:91:8D:56, 2006-10-20 12:00:27, 2006-10-20 12:48:45,  16,      374, 00:40:96:46:35:D5, tsunami                         
00:17:F2:4A:45:64, 2006-10-20 12:00:51, 2006-10-20 12:16:46,  61,      196, 00:40:96:46:66:AA, tsunami                         
00:14:A5:19:CB:2F, 2006-10-20 12:01:03, 2006-10-20 12:14:02,  12,      238, 00:40:96:46:66:AA, tsunami                         
00:13:CE:2E:41:FD, 2006-10-20 12:02:19, 2006-10-20 12:02:57,   1,        8, 00:40:96:46:48:3D, tsunami                         
00:12:F0:87:1F:73, 2006-10-20 12:03:55, 2006-10-20 12:09:51,  45,      635, 00:40:96:46:5F:D5, tsunami                         
00:14:A5:50:07:92, 2006-10-20 12:06:16, 2006-10-20 12:38:43,  12,     2924, 00:40:96:47:80:99, tsunami                         
00:13:02:A8:C7:B4, 2006-10-20 12:07:51, 2006-10-20 12:40:54,  24,     2736, 00:40:96:46:4C:09, tsunami                         
00:09:2D:9F:11:79, 2006-10-20 12:09:00, 2006-10-20 12:43:29,  72,       20, 00:40:96:46:54:CB, tsunami                         
00:13:02:C8:ED:7B, 2006-10-20 12:09:07, 2006-10-20 12:09:07,   1,        5, 00:40:96:46:80:40, tsunami                         
00:13:CE:21:D4:EA, 2006-10-20 12:09:49, 2006-10-20 12:46:39,  24,     1020, 00:40:96:46:26:F1, tsunami                         
00:90:96:60:DD:FD, 2006-10-20 12:10:14, 2006-10-20 12:48:46,  43,      428, 00:40:96:46:26:F1, tsunami                         
00:13:CE:4F:1E:37, 2006-10-20 12:10:46, 2006-10-20 12:48:45,  64,     1258, 00:40:96:46:66:AA, tsunami                         
00:13:CE:5B:0E:F2, 2006-10-20 12:11:37, 2006-10-20 12:24:34,  24,     1029, 00:40:96:46:48:3D, tsunami                         
00:14:A5:8F:C7:E3, 2006-10-20 12:12:42, 2006-10-20 12:24:16,  33,      325, 00:40:96:46:48:35, tsunami                         
00:90:96:BC:14:18, 2006-10-20 12:12:43, 2006-10-20 12:32:37,  26,       21, 00:40:96:46:35:D5, tsunami                         
00:12:F0:3A:77:FD, 2006-10-20 12:12:49, 2006-10-20 12:45:09,  24,      441, 00:40:96:45:FC:B0, tsunami                         
00:11:24:2D:91:5C, 2006-10-20 12:18:08, 2006-10-20 12:21:29,  20,      140, 00:40:96:46:86:32, tsunami                         
00:90:96:F0:73:B6, 2006-10-20 12:19:52, 2006-10-20 12:40:56,  14,       94, 00:40:96:46:4C:09, tsunami                         
00:13:02:7F:96:11, 2006-10-20 12:20:33, 2006-10-20 12:48:46,  20,      195, 00:40:96:46:35:D5, tsunami                         
00:12:F0:92:24:23, 2006-10-20 12:23:35, 2006-10-20 12:23:35,   1,        2, 00:40:96:46:35:13, tsunami                         
00:90:96:FC:69:7E, 2006-10-20 12:24:59, 2006-10-20 12:48:25,   1,      869, 00:40:96:46:48:3D, tsunami                         
00:01:24:B1:16:C4, 2006-10-20 12:26:56, 2006-10-20 12:46:29,  33,      263, 00:40:96:46:3B:32, tsunami                         
00:13:02:E0:B5:0A, 2006-10-20 12:30:08, 2006-10-20 12:30:16,  22,        2, 00:40:96:46:35:D5, tsunami                         
00:17:F2:49:30:D6, 2006-10-20 12:30:26, 2006-10-20 12:48:40,  30,      910, 00:40:96:46:66:AA, tsunami                         
00:13:CE:17:DE:FC, 2006-10-20 12:31:11, 2006-10-20 12:48:46,  61,     2653, 00:40:96:46:3B:32, tsunami                         
00:13:CE:F1:0E:4E, 2006-10-20 12:32:01, 2006-10-20 12:32:01,   1,        2, 00:0F:34:AB:15:F0,                                 
00:E0:63:50:0D:03, 2006-10-20 12:33:33, 2006-10-20 12:48:45,  26,       53, 00:40:96:46:26:F1, tsunami                         
00:0E:9B:24:AD:BA, 2006-10-20 12:35:21, 2006-10-20 12:42:45,   1,        5, 00:40:96:46:35:13, tsunami                         
00:13:02:7F:45:9F, 2006-10-20 12:35:23, 2006-10-20 12:44:35,  38,      102, 00:40:96:46:48:3D, tsunami                         
00:40:F4:C4:56:F0, 2006-10-20 12:38:49, 2006-10-20 12:38:49,  24,        8, 00:40:96:45:FC:B0, tsunami                         
00:13:D3:00:24:63, 2006-10-20 12:40:30, 2006-10-20 12:40:39,  30,        4, 00:40:96:46:66:AA, tsunami                         
00:16:CB:B8:99:43, 2006-10-20 12:41:07, 2006-10-20 12:48:41,  22,      466, 00:40:96:46:55:07, tsunami                         
00:16:CB:BF:9D:07, 2006-10-20 12:45:57, 2006-10-20 12:47:54,  64,       23, 00:40:96:46:66:AA, tsunami                         
00:13:02:B1:E2:A0, 2006-10-20 12:47:11, 2006-10-20 12:48:43,  61,       13, 00:40:96:46:4C:09, tsunami                         
00:17:F2:48:9C:FC, 2006-10-20 12:47:54, 2006-10-20 12:47:54,  20,        1, 00:40:96:46:48:35, tsunami                         

