
BSSID, First time seen, Last time seen, Channel, Speed, Privacy, Power, # beacons, # data, LAN IP, ESSID
00:0C:6E:50:77:4E, 2006-10-16 12:36:09, 2006-10-16 12:48:25,  12,      491, 00:40:96:47:80:99, tsunami                         
00:0F:F8:55:5B:C9, 2006-10-16 12:36:12, 2006-10-16 12:36:12,  38,        7, 00:40:96:46:3B:32, tsunami                         
00:0B:7D:0E:FE:74, 2006-10-16 12:36:12, 2006-10-16 12:58:27,  26,      212, 00:40:96:46:26:F1, tsunami                         
00:13:02:B4:E6:A0, 2006-10-16 12:36:14, 2006-10-16 13:00:53,  33,      119, 00:40:96:46:86:32, tsunami                         
00:13:02:C8:ED:7B, 2006-10-16 12:36:15, 2006-10-16 13:00:54,   5,     1091, 00:40:96:46:80:40, tsunami                         
00:04:23:4F:DB:36, 2006-10-16 12:36:15, 2006-10-16 13:00:42,   1,      301, 00:40:96:46:66:AA, tsunami                         
00:11:24:C6:33:9A, 2006-10-16 12:36:16, 2006-10-16 12:49:54,  50,       32, 00:40:96:46:5F:D5, tsunami                         
00:90:96:60:DD:FD, 2006-10-16 12:36:16, 2006-10-16 13:00:32,  20,       66, 00:40:96:46:35:D5, tsunami                         
00:0D:93:88:33:8F, 2006-10-16 12:36:17, 2006-10-16 13:00:16,  10,      323, 00:40:96:41:9C:23, tsunami                         
00:14:A5:78:BB:6C, 2006-10-16 12:36:18, 2006-10-16 13:00:31,  10,       22, 00:40:96:41:9C:23, tsunami                         
00:0F:20:95:68:D4, 2006-10-16 12:36:20, 2006-10-16 13:00:51,  59,      611, 00:40:96:46:26:F1, tsunami                         
00:30:65:13:92:8E, 2006-10-16 12:36:25, 2006-10-16 12:56:00,  24,      163, 00:40:96:41:9C:23, tsunami                         
00:11:24:A0:97:1E, 2006-10-16 12:36:32, 2006-10-16 12:47:17,   5,      531, 00:40:96:41:9C:23, tsunami                         
00:14:A5:C9:29:C0, 2006-10-16 12:36:52, 2006-10-16 13:00:53,  45,      307, 00:40:96:46:26:F1, tsunami                         
