# $Creator: Network Stumbler Version 0.4.0
# $Format: wi-scan summary with extensions
# Latitude	Longitude	( SSID )	Type	( BSSID )	Time (GMT)	[ SNR Sig Noise ]	# ( Name )	Flags	Channelbits	BcnIntvl	DataRate	LastChannel
# $DateGMT: 2006-11-05
N 0.0000000	E 0.0000000	( WH412 )	BSS	( 00:0f:66:53:d2:e3 )	18:53:26 (GMT)	[ 7 56 49 ]	# (  )	0011	00000040	100	540	6
N 0.0000000	E 0.0000000	( StreetGang )	BSS	( 00:18:39:d0:3b:8e )	18:53:26 (GMT)	[ 25 74 49 ]	# (  )	0411	00000040	100	540	6
N 0.0000000	E 0.0000000	( umbc_sux )	BSS	( 00:13:10:80:21:3d )	18:53:26 (GMT)	[ 36 85 49 ]	# (  )	0411	00000040	100	540	6
N 0.0000000	E 0.0000000	( PartyNaked )	BSS	( 00:13:10:77:67:79 )	18:53:26 (GMT)	[ 27 76 49 ]	# (  )	0011	00000200	100	540	9
N 0.0000000	E 0.0000000	( I like Pants )	BSS	( 00:11:95:57:f7:d3 )	18:53:26 (GMT)	[ 29 78 49 ]	# (  )	0031	00000040	100	540	6
N 0.0000000	E 0.0000000	( XcsX )	BSS	( 00:13:46:d3:e6:2e )	18:53:51 (GMT)	[ 19 68 49 ]	# (  )	0431	00000040	100	540	6
N 0.0000000	E 0.0000000	( linksysCP )	BSS	( 00:0f:66:cd:34:c1 )	18:54:31 (GMT)	[ 4 53 49 ]	# (  )	0011	00000040	100	540	6
N 0.0000000	E 0.0000000	( Free Internet...Just Kidding )	BSS	( 00:0f:66:01:7f:10 )	18:55:29 (GMT)	[ 32 81 49 ]	# (  )	0411	00000040	100	540	6
N 0.0000000	E 0.0000000	( AC )	BSS	( 00:14:51:78:60:01 )	18:55:29 (GMT)	[ 15 64 49 ]	# (  )	0411	00000002	100	540	1
N 0.0000000	E 0.0000000	( Hewlett-Packard )	ad-hoc	( 36:b9:91:dc:47:ba )	18:55:29 (GMT)	[ 24 73 49 ]	# (  )	0002	00000800	100	110	11
N 0.0000000	E 0.0000000	( Jet Jaguar )	BSS	( 00:14:6c:98:06:ae )	18:55:29 (GMT)	[ 27 76 49 ]	# (  )	0411	00000800	100	540	11
N 0.0000000	E 0.0000000	( Everybodyloveskunal )	BSS	( 00:12:17:43:f3:a7 )	18:55:29 (GMT)	[ 22 71 49 ]	# (  )	0005	00000040	100	110	6
N 0.0000000	E 0.0000000	( belkin54g )	BSS	( 00:11:50:17:48:4d )	18:56:30 (GMT)	[ 18 67 49 ]	# (  )	0001	00000800	100	540	11
