# $Creator: Network Stumbler Version 0.4.0
# $Format: wi-scan summary with extensions
# Latitude	Longitude	( SSID )	Type	( BSSID )	Time (GMT)	[ SNR Sig Noise ]	# ( Name )	Flags	Channelbits	BcnIntvl	DataRate	LastChannel
# $DateGMT: 2006-10-29
N 0.0000000	E 0.0000000	( belkin54g )	BSS	( 00:11:50:72:12:3c )	19:55:34 (GMT)	[ 10 59 49 ]	# (  )	0011	00000002	100	0	1
N 0.0000000	E 0.0000000	( PAT163 )	BSS	( 00:11:50:3c:19:7f )	19:55:34 (GMT)	[ 6 55 49 ]	# (  )	0011	00000008	100	540	3
N 0.0000000	E 0.0000000	( PezLan )	BSS	( 00:18:39:3f:ca:d8 )	19:55:34 (GMT)	[ 8 57 49 ]	# (  )	0011	00000002	100	540	1
N 0.0000000	E 0.0000000	( dlink )	BSS	( 00:15:e9:6a:2e:84 )	19:55:40 (GMT)	[ 9 58 49 ]	# (  )	0011	00000040	100	0	6
N 0.0000000	E 0.0000000	( default )	BSS	( 00:13:46:44:8a:90 )	19:55:40 (GMT)	[ 23 72 49 ]	# (  )	0011	00000040	100	0	6
N 0.0000000	E 0.0000000	( Foxy Cat )	BSS	( 00:14:bf:cf:49:ef )	19:55:40 (GMT)	[ 13 62 49 ]	# (  )	0011	00000040	100	540	6
N 0.0000000	E 0.0000000	( vampire )	BSS	( 00:16:b6:e3:11:74 )	19:55:40 (GMT)	[ 17 66 49 ]	# (  )	0011	00000040	100	540	6
N 0.0000000	E 0.0000000	( linksys )	BSS	( 00:18:39:4b:7b:68 )	19:55:45 (GMT)	[ 7 56 49 ]	# (  )	0001	00000040	100	540	6
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:24:a9:51:c0 )	19:55:45 (GMT)	[ 22 71 49 ]	# (  )	0001	00000040	100	540	6
N 0.0000000	E 0.0000000	( NETGEAR )	BSS	( 00:14:6c:d3:3d:0a )	19:55:50 (GMT)	[ 10 59 49 ]	# (  )	0001	00000800	100	540	11
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:24:a5:45:f0 )	19:55:50 (GMT)	[ 23 72 49 ]	# (  )	0001	00000800	100	540	11
N 0.0000000	E 0.0000000	( belkin54g )	BSS	( 00:11:50:43:fa:f1 )	19:55:50 (GMT)	[ 23 72 49 ]	# (  )	0011	00000800	100	540	11
N 0.0000000	E 0.0000000	( Free Public WiFi )	ad-hoc	( 5e:fa:2f:f9:47:d8 )	19:55:50 (GMT)	[ 16 65 49 ]	# (  )	0002	00000800	100	110	11
N 0.0000000	E 0.0000000	( Deloitte )	ad-hoc	( aa:86:33:57:0d:cf )	19:55:50 (GMT)	[ 20 69 49 ]	# (  )	0002	00000800	100	110	11
N 0.0000000	E 0.0000000	( pmc_271 )	BSS	( 00:0f:b5:a0:02:f4 )	19:55:50 (GMT)	[ 14 63 49 ]	# (  )	0011	00000800	100	540	11
N 0.0000000	E 0.0000000	( NETGEAR )	BSS	( 00:14:6c:9f:c4:94 )	19:55:50 (GMT)	[ 17 66 49 ]	# (  )	0001	00000800	100	540	11
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:24:a5:45:d0 )	19:56:00 (GMT)	[ 8 57 49 ]	# (  )	0001	00000002	100	540	1
N 0.0000000	E 0.0000000	( Free Public WiFi )	ad-hoc	( 02:13:02:00:63:47 )	19:57:25 (GMT)	[ 16 65 49 ]	# (  )	0002	00000800	100	110	11
N 0.0000000	E 0.0000000	( Pat 176 )	BSS	( 00:13:46:0b:7f:1c )	19:57:25 (GMT)	[ 8 57 49 ]	# (  )	0011	00000800	100	0	11
N 0.0000000	E 0.0000000	( jakris )	BSS	( 00:40:10:10:00:03 )	19:57:35 (GMT)	[ 5 54 49 ]	# (  )	0001	00000040	100	540	6
N 0.0000000	E 0.0000000	( Kabik )	BSS	( 00:30:65:03:13:a1 )	19:59:45 (GMT)	[ 6 55 49 ]	# (  )	0011	00000040	100	110	6
N 0.0000000	E 0.0000000	( Free Public WiFi )	ad-hoc	( 0e:bb:5d:59:dc:5f )	20:01:21 (GMT)	[ 14 63 49 ]	# (  )	0002	00000800	100	110	11
