
BSSID, First time seen, Last time seen, Channel, Speed, Privacy, Power, # beacons, # data, LAN IP, ESSID
00:12:F0:75:44:B8, 2006-10-25 11:51:03, 2006-10-25 12:46:30,  26,    20112, 00:40:96:46:3B:32, tsunami                         
00:14:A5:B2:E4:87, 2006-10-25 11:55:38, 2006-10-25 12:17:26,  18,     2089, 00:40:96:47:80:99, tsunami                         
00:14:A5:0C:80:5F, 2006-10-25 11:56:19, 2006-10-25 12:42:19,  38,      720, 00:40:96:46:11:E0,                                 
00:18:DE:17:13:5B, 2006-10-25 11:57:50, 2006-10-25 12:39:31,   5,     1167, 00:40:96:47:80:99, tsunami                         
00:14:A5:BB:74:DC, 2006-10-25 11:58:30, 2006-10-25 11:58:30,   1,        1, 00:40:96:46:54:CB, tsunami                         
00:11:09:17:1C:7B, 2006-10-25 11:59:40, 2006-10-25 12:46:14,  26,     1353, 00:40:96:46:48:3D, tsunami                         
00:12:F0:7E:FB:D8, 2006-10-25 12:03:12, 2006-10-25 12:11:39,   1,       51, 00:40:96:47:80:99, tsunami                         
00:14:51:ED:C5:3D, 2006-10-25 12:03:13, 2006-10-25 12:45:27,  24,     1879, 00:40:96:46:3B:32, tsunami                         
00:E0:63:50:0D:03, 2006-10-25 12:03:41, 2006-10-25 12:04:10,   1,       10, 00:40:96:47:80:99, tsunami                         
00:E0:4C:81:80:66, 2006-10-25 12:04:12, 2006-10-25 12:09:50,   1,       36, 00:07:85:92:2B:8C,                                 
00:0B:7D:18:B8:44, 2006-10-25 12:04:14, 2006-10-25 12:45:29,   1,      107, 00:40:96:46:3B:32, tsunami                         
00:C0:A8:BB:32:B8, 2006-10-25 12:04:17, 2006-10-25 12:11:37,   1,      279, 00:40:96:46:3B:32, tsunami                         
00:11:F5:0D:53:89, 2006-10-25 12:05:28, 2006-10-25 12:05:29,  30,       26, 00:40:96:47:80:99, tsunami                         
00:90:4B:E6:FB:25, 2006-10-25 12:07:19, 2006-10-25 12:46:23,  12,      670, 00:40:96:46:26:F1,                                 
00:13:02:7F:96:11, 2006-10-25 12:09:21, 2006-10-25 12:34:15,  22,       91, 00:40:96:46:35:D5, tsunami                         
00:12:F0:87:1F:73, 2006-10-25 12:11:14, 2006-10-25 12:46:29,   1,      957, 00:40:96:46:5F:D5, tsunami                         
00:14:A5:8F:C7:E3, 2006-10-25 12:13:27, 2006-10-25 12:45:58,   5,     1786, 00:40:96:47:80:99, tsunami                         
00:12:F0:0F:FA:44, 2006-10-25 12:18:07, 2006-10-25 12:46:30,  64,      284, 00:40:96:46:48:3D, tsunami                         
00:16:B6:07:86:7B, 2006-10-25 12:19:43, 2006-10-25 12:21:53,  20,     1036, 00:40:96:46:35:D5, tsunami                         
00:90:4B:96:F0:E4, 2006-10-25 12:20:29, 2006-10-25 12:21:57,   1,      775, 00:40:96:46:48:3D, tsunami                         
00:14:A4:82:B6:A7, 2006-10-25 12:23:23, 2006-10-25 12:46:30,  24,     3733, 00:40:96:44:81:DE,                                 
00:14:A5:3B:E2:44, 2006-10-25 12:24:14, 2006-10-25 12:46:30,  33,    53947, 00:40:96:46:48:3D, tsunami                         
00:09:2D:9F:11:79, 2006-10-25 12:24:46, 2006-10-25 12:24:46,   1,        1, 00:40:96:46:5F:D5, tsunami                         
00:13:CE:12:33:8B, 2006-10-25 12:25:22, 2006-10-25 12:38:28,  20,      724, 00:40:96:46:35:D5, tsunami                         
00:14:A5:20:8C:FE, 2006-10-25 12:25:26, 2006-10-25 12:25:54,  10,       68, 00:40:96:47:80:99, tsunami                         
00:13:02:03:D5:CA, 2006-10-25 12:25:31, 2006-10-25 12:39:58,  22,      740, 00:40:96:46:35:D5, tsunami                         
00:14:A5:97:68:D4, 2006-10-25 12:28:26, 2006-10-25 12:46:29,   5,     4387, 00:40:96:46:48:3D, tsunami                         
00:09:5B:8C:B6:D1, 2006-10-25 12:29:14, 2006-10-25 12:40:48,  53,        8, 00:40:96:45:FC:B0,                                 
00:12:F0:01:C4:4C, 2006-10-25 12:30:48, 2006-10-25 12:30:48,   1,        1, 00:40:96:46:54:CB, tsunami                         
00:13:CE:38:CC:A9, 2006-10-25 12:32:46, 2006-10-25 12:44:57,   1,       82, 00:40:96:46:3B:32, tsunami                         
00:16:CB:B8:99:43, 2006-10-25 12:38:42, 2006-10-25 12:38:42,  28,       23, 00:40:96:46:3B:32, tsunami                         
00:12:F0:63:3F:51, 2006-10-25 12:38:47, 2006-10-25 12:46:29,  20,     3842, 00:40:96:46:54:CB, tsunami                         
00:14:A5:BC:31:32, 2006-10-25 12:42:13, 2006-10-25 12:46:15,   5,     1143, 00:40:96:46:3B:32, tsunami                         
00:16:CE:32:FC:34, 2006-10-25 12:44:25, 2006-10-25 12:44:26,   1,        7, 00:40:96:46:54:72,                                 
00:13:CE:31:7B:EC, 2006-10-25 12:44:25, 2006-10-25 12:46:29,  18,     2012, 00:40:96:46:48:3D, tsunami                         

