
BSSID, First time seen, Last time seen, Channel, Speed, Privacy, Power, # beacons, # data, LAN IP, ESSID
00:13:CE:7D:96:A2, 2006-10-17 11:40:17, 2006-10-17 12:36:27,  26,     8182, 00:40:96:46:26:F1, tsunami                         
00:16:CB:07:A9:79, 2006-10-17 11:40:33, 2006-10-17 12:47:42,  61,     1813, 00:40:96:45:FC:B0, tsunami                         
00:13:02:82:70:65, 2006-10-17 11:40:48, 2006-10-17 12:17:38,  74,      336, 00:40:96:46:4C:09, tsunami                         
00:0B:7D:09:A6:EE, 2006-10-17 11:40:51, 2006-10-17 12:47:42,   1,      467, 00:40:96:41:9C:23, tsunami                         
00:16:CF:11:A6:EE, 2006-10-17 11:40:52, 2006-10-17 12:46:12,  30,     2469, 00:40:96:46:3B:32, tsunami                         
00:16:CF:55:9C:E8, 2006-10-17 11:40:54, 2006-10-17 12:44:24,  50,     4626, 00:40:96:46:26:F1, tsunami                         
00:13:02:7F:96:11, 2006-10-17 11:40:58, 2006-10-17 12:47:10,  28,      634, 00:40:96:46:35:D5, tsunami                         
00:14:51:7F:57:EF, 2006-10-17 11:41:02, 2006-10-17 12:46:56,  50,     1500, 00:40:96:46:26:F1, tsunami                         
00:0E:35:15:C2:C8, 2006-10-17 11:41:06, 2006-10-17 12:02:49,  24,       69, 00:40:96:46:35:13, tsunami                         
00:12:F0:AC:3C:8D, 2006-10-17 11:41:23, 2006-10-17 12:15:53,   1,       34, 00:40:96:46:35:13, tsunami                         
00:0E:35:38:14:AE, 2006-10-17 11:41:57, 2006-10-17 12:46:07,  26,      216, 00:40:96:46:54:CB, tsunami                         
00:09:5B:8C:B6:D1, 2006-10-17 11:42:34, 2006-10-17 12:47:09,  30,      296, 00:40:96:45:FC:B0, tsunami                         
00:C0:A8:AB:42:69, 2006-10-17 11:42:50, 2006-10-17 12:47:41,  22,      108, 00:40:96:46:20:51, tsunami                         
00:12:F0:01:C4:4C, 2006-10-17 11:43:15, 2006-10-17 12:47:41,   1,      381, 00:40:96:46:4C:09, tsunami                         
00:E0:4C:81:80:66, 2006-10-17 11:43:23, 2006-10-17 12:43:05,  35,       28, 00:07:85:92:2B:8C,                                 
00:14:51:E5:09:D4, 2006-10-17 11:43:25, 2006-10-17 12:47:20,  24,      308, 00:40:96:46:3B:32, tsunami                         
00:14:A5:2D:26:19, 2006-10-17 11:43:32, 2006-10-17 12:45:10,  33,      428, 00:40:96:46:66:AA, tsunami                         
00:02:2D:5C:1D:AB, 2006-10-17 11:44:16, 2006-10-17 12:38:13,   1,     1617, 00:40:96:46:4C:09, tsunami                         
00:90:4B:2D:A4:F8, 2006-10-17 11:44:22, 2006-10-17 12:46:46,  30,    11639, 00:40:96:47:80:99, tsunami                         
00:18:DE:82:CD:3A, 2006-10-17 11:44:26, 2006-10-17 12:35:55,  72,     6158, 00:40:96:46:26:F1, tsunami                         
00:16:CB:BA:B2:BD, 2006-10-17 11:46:02, 2006-10-17 12:47:37,   1,     6797, 00:40:96:45:FC:B0, tsunami                         
00:16:6F:3C:34:86, 2006-10-17 11:46:10, 2006-10-17 12:47:12,  30,       87, 00:40:96:46:35:13, tsunami                         
00:80:C8:AD:54:03, 2006-10-17 11:46:17, 2006-10-17 12:44:21,  59,       41, 00:40:96:47:80:99, tsunami                         
00:11:24:9D:8D:57, 2006-10-17 11:46:41, 2006-10-17 12:00:45,  14,      404, 00:40:96:41:9C:23, tsunami                         
00:0F:66:72:10:2E, 2006-10-17 11:50:32, 2006-10-17 12:35:41,  33,     2160, 00:40:96:41:9C:23, tsunami                         
